timestamp,mode,rms_U,rms_V,rms_W,mean,std,max,min
2024-08-29 02:08:19.626777+00:00,READY,35.7599758,41.29548804,28.28658522,-1.01E-08,0.001219246,0.019868221,-0.019816794
2024-08-29 02:09:19.472124+00:00,READY,33.64855486,40.70420707,32.54159933,-2.58E-08,0.00120479,0.020070896,-0.018912602
2024-08-29 02:10:20.330832+00:00,READY,34.8529547,34.96336037,31.90312075,4.10E-08,0.001013656,0.005802098,-0.004730905
2024-08-29 02:11:20.191068+00:00,READY,43.94600258,42.94025897,32.91734171,-2.45E-08,0.001048075,0.00470945,-0.00464718
2024-08-29 02:12:20.039942+00:00,READY,30.8716679,37.97574808,34.10243185,1.47E-08,0.00100891,0.006248226,-0.005798274
2024-08-29 02:13:19.874171+00:00,READY,30.80592992,33.30456073,29.848402,-5.44E-08,0.000985231,0.005871479,-0.007250536
2024-08-29 02:14:19.727817+00:00,READY,33.24115391,36.86093456,30.42990853,9.54E-09,0.00099479,0.005509831,-0.004966357
2024-08-29 02:15:19.594813+00:00,READY,34.87771857,36.34503901,29.37580117,1.29E-08,0.001013835,0.006216663,-0.005947808
2024-08-29 02:16:19.481862+00:00,READY,39.66738631,35.14517763,29.33429474,1.00E-08,0.001007573,0.004208426,-0.004914549
2024-08-29 02:17:20.372168+00:00,READY,35.38186343,40.42994985,33.35513293,-1.26E-08,0.001219732,0.01873916,-0.018935084
2024-08-29 02:18:20.242456+00:00,READY,31.73844542,36.87468651,32.07198604,2.62E-08,0.001138259,0.02062172,-0.018944934
2024-08-29 02:19:20.125912+00:00,READY,35.78639133,38.93463286,31.30293288,1.44E-08,0.001274129,0.023452826,-0.019040955
2024-08-29 02:20:19.995338+00:00,READY,31.88841524,37.45058905,28.54672692,5.71E-09,0.001047201,0.007031012,-0.00754713
2024-08-29 02:21:19.864032+00:00,READY,34.65073331,35.80664645,29.59604968,4.53E-09,0.001259952,0.019291315,-0.020022139
2024-08-29 02:22:19.707382+00:00,READY,23.77714474,28.27915125,33.73226981,-2.46E-09,0.001242281,0.022260616,-0.023753844
2024-08-29 02:23:19.523692+00:00,READY,25.93857578,41.03644974,26.45071168,-1.05E-07,0.001227124,0.018495874,-0.020079039
2024-08-29 02:24:19.357465+00:00,READY,34.49348382,37.95281271,30.14997944,1.70E-08,0.001126722,0.016143136,-0.01710774
2024-08-29 02:25:20.219462+00:00,READY,29.98617879,39.81377909,26.34962673,4.55E-08,0.00123905,0.022418916,-0.021014037
2024-08-29 02:26:20.063366+00:00,READY,31.49421399,38.02209396,30.45925294,-3.80E-08,0.001267164,0.023138909,-0.020091195
2024-08-29 02:27:19.929384+00:00,READY,27.83599881,33.5322312,32.00904144,2.23E-08,0.001126406,0.018407147,-0.01643338
2024-08-29 02:28:19.790296+00:00,READY,34.86732782,42.33543396,33.18669049,2.13E-08,0.001255292,0.02198359,-0.02245958
2024-08-29 02:29:19.654691+00:00,READY,33.8101672,39.13448215,26.34395402,-1.21E-08,0.001235485,0.019056525,-0.01991315
2024-08-29 02:30:19.503687+00:00,READY,35.76561469,37.74426147,31.87973082,1.41E-08,0.001120959,0.019824985,-0.02066717
2024-08-29 02:31:19.372188+00:00,READY,36.24585149,35.47331743,25.56913494,7.98E-09,0.001246808,0.021464806,-0.019923216
2024-08-29 02:32:20.264801+00:00,READY,36.25920076,33.17951871,32.94700408,-1.15E-08,0.001244626,0.018495709,-0.020239655
2024-08-29 02:33:20.132211+00:00,READY,32.76182954,30.6974064,30.0665683,3.13E-08,0.001139423,0.020740142,-0.017337365
2024-08-29 02:34:19.987010+00:00,READY,39.93977934,30.75207354,31.55838979,-4.35E-08,0.001225041,0.019692468,-0.019756423
2024-08-29 02:35:19.841930+00:00,READY,33.83985309,32.57883331,30.93137299,-7.40E-09,0.001164872,0.020518327,-0.015965207
2024-08-29 02:36:19.710471+00:00,READY,36.4785407,32.69388936,33.22052025,7.38E-09,0.000996234,0.006484409,-0.005760264
2024-08-29 02:37:19.544506+00:00,READY,30.29092795,37.35410361,30.09019641,-8.14E-09,0.001006379,0.004694779,-0.004875953
2024-08-29 02:38:19.381621+00:00,READY,34.53587734,36.72151673,33.1618105,2.20E-08,0.001014047,0.004772139,-0.005081108
2024-08-29 02:39:20.223296+00:00,READY,25.70344782,35.02836206,31.59405975,-2.01E-08,0.001052404,0.007580522,-0.006949336
2024-08-29 02:40:20.075934+00:00,READY,31.71713235,38.37906441,29.8989114,-2.33E-08,0.001097063,0.005404016,-0.005118044
2024-08-29 02:41:19.908281+00:00,READY,29.16517287,25.72001791,27.79296192,5.84E-09,0.0010436,0.005619954,-0.005029484
2024-08-29 02:42:19.755872+00:00,READY,37.827621,39.80742712,34.24230519,-1.48E-08,0.001040421,0.005231137,-0.004892347
2024-08-29 02:43:19.619770+00:00,READY,33.58480015,42.23524587,30.63855636,2.34E-08,0.000966807,0.004824581,-0.00545383
2024-08-29 02:44:19.457745+00:00,READY,28.13754973,32.83590232,35.0786331,-7.97E-09,0.000967886,0.006045628,-0.005068749
2024-08-29 02:45:19.310524+00:00,READY,37.6826256,38.036559,31.18857561,-2.53E-08,0.001020982,0.004815724,-0.005179061
2024-08-29 02:46:20.187071+00:00,READY,39.26836549,39.84304186,32.92550289,-2.68E-08,0.001054832,0.007097964,-0.007417869
2024-08-29 02:47:20.031761+00:00,READY,33.98363124,32.85477966,30.31536169,-7.17E-09,0.001012326,0.004993949,-0.004924962
